transport;station_depart;time_depart;station_arrive;time_arrive;day
429; ќћћ”ЌјЋ№Ќјя ”Ћ;0:05;ѕ–»Ћ” »(—еницкий с/с);0:15;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;0:31;ѕ–»Ћ” »(—еницкий с/с);0:41;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;5:11;ѕ–»Ћ” »(—еницкий с/с);5:19;пн вт ср чт пт
213”; ќћћ”ЌјЋ№Ќјя ”Ћ;5:17;ѕ–»Ћ” »(—еницкий с/с);5:25;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;5:24;ѕ–»Ћ” »(—еницкий с/с);5:32;пн вт ср чт пт
213; ќћћ”ЌјЋ№Ќјя ”Ћ;5:51;ѕ–»Ћ” »(—еницкий с/с);5:59;пн вт ср чт пт
213”; ќћћ”ЌјЋ№Ќјя ”Ћ;5:54;ѕ–»Ћ” »(—еницкий с/с);6:05;сб вс
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;5:58;ѕ–»Ћ” »(—еницкий с/с);6:06;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:09;ѕ–»Ћ” »(—еницкий с/с);6:17;сб вс
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:09;ѕ–»Ћ” »(—еницкий с/с);6:17;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:16;ѕ–»Ћ” »(—еницкий с/с);6:24;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:19;ѕ–»Ћ” »(—еницкий с/с);6:27;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:31;ѕ–»Ћ” »(—еницкий с/с);6:39;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;6:39;ѕ–»Ћ” »(—еницкий с/с);6:50;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:39;ѕ–»Ћ” »(—еницкий с/с);6:47;сб вс
213; ќћћ”ЌјЋ№Ќјя ”Ћ;6:45;ѕ–»Ћ” »(—еницкий с/с);6:57;пн вт ср чт пт
279”; ќћћ”ЌјЋ№Ќјя ”Ћ;6:49;ѕ–»Ћ” »(—еницкий с/с);7:01;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;6:54;ѕ–»Ћ” »(—еницкий с/с);7:05;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;6:56;ѕ–»Ћ” »(—еницкий с/с);7:08;сб вс
339; ќћћ”ЌјЋ№Ќјя ”Ћ;6:59;ѕ–»Ћ” »(—еницкий с/с);7:11;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:04;ѕ–»Ћ” »(—еницкий с/с);7:15;пн вт ср чт пт
339; ќћћ”ЌјЋ№Ќјя ”Ћ;7:11;ѕ–»Ћ” »(—еницкий с/с);7:23;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:15;ѕ–»Ћ” »(—еницкий с/с);7:26;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:26;ѕ–»Ћ” »(—еницкий с/с);7:38;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:31;ѕ–»Ћ” »(—еницкий с/с);7:43;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:39;ѕ–»Ћ” »(—еницкий с/с);7:51;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;7:49;ѕ–»Ћ” »(—еницкий с/с);8:01;пн вт ср чт пт
213; ќћћ”ЌјЋ№Ќјя ”Ћ;7:53;ѕ–»Ћ” »(—еницкий с/с);8:05;пн вт ср чт пт
