transport;station_depart;time_depart;station_arrive;time_arrive;day
279;ПРИЛУКИ(Сеницкий с/с);5:34;МИНСК АС-ЮгоЗападная;6:20;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);6:07;МИНСК АС-ЮгоЗападная;6:44;сб вс
213;ПРИЛУКИ(Сеницкий с/с);6:14;МИНСК АС-ЮгоЗападная;7:00;пн вт ср чт пт
211;ПРИЛУКИ(Сеницкий с/с);6:58;МИНСК АС-ЮгоЗападная;7:35;сб вс
211;ПРИЛУКИ(Сеницкий с/с);7:04;МИНСК АС-ЮгоЗападная;7:50;пн вт ср чт пт
339А;ПРИЛУКИ(Сеницкий с/с);7:40;МИНСК АС-ЮгоЗападная;8:26;пн вт ср чт пт
211;ПРИЛУКИ(Сеницкий с/с);7:54;МИНСК АС-ЮгоЗападная;8:40;пн вт ср чт пт
339А;ПРИЛУКИ(Сеницкий с/с);7:56;МИНСК АС-ЮгоЗападная;8:32;сб вс
279;ПРИЛУКИ(Сеницкий с/с);9:01;МИНСК АС-ЮгоЗападная;9:37;сб вс
211;ПРИЛУКИ(Сеницкий с/с);9:12;МИНСК АС-ЮгоЗападная;9:49;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);9:52;МИНСК АС-ЮгоЗападная;10:29;сб вс
211;ПРИЛУКИ(Сеницкий с/с);10:04;МИНСК АС-ЮгоЗападная;10:40;сб вс
279;ПРИЛУКИ(Сеницкий с/с);10:07;МИНСК АС-ЮгоЗападная;10:44;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);10:36;МИНСК АС-ЮгоЗападная;11:10;сб вс
279;ПРИЛУКИ(Сеницкий с/с);11:07;МИНСК АС-ЮгоЗападная;11:44;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);11:16;МИНСК АС-ЮгоЗападная;11:50;сб вс
279;ПРИЛУКИ(Сеницкий с/с);12:16;МИНСК АС-ЮгоЗападная;12:50;сб вс
339;ПРИЛУКИ(Сеницкий с/с);12:37;МИНСК АС-ЮгоЗападная;13:14;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);12:50;МИНСК АС-ЮгоЗападная;13:24;сб вс
211;ПРИЛУКИ(Сеницкий с/с);12:56;МИНСК АС-ЮгоЗападная;13:30;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);13:19;МИНСК АС-ЮгоЗападная;13:53;сб вс
279;ПРИЛУКИ(Сеницкий с/с);13:29;МИНСК АС-ЮгоЗападная;14:03;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);14:02;МИНСК АС-ЮгоЗападная;14:36;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);14:21;МИНСК АС-ЮгоЗападная;14:55;сб вс
279;ПРИЛУКИ(Сеницкий с/с);14:28;МИНСК АС-ЮгоЗападная;15:02;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);14:51;МИНСК АС-ЮгоЗападная;15:25;сб вс
213;ПРИЛУКИ(Сеницкий с/с);14:56;МИНСК АС-ЮгоЗападная;15:30;пн вт ср чт пт
339;ПРИЛУКИ(Сеницкий с/с);15:18;МИНСК АС-ЮгоЗападная;15:52;пн вт ср чт пт
339;ПРИЛУКИ(Сеницкий с/с);15:21;МИНСК АС-ЮгоЗападная;15:54;сб вс
279;ПРИЛУКИ(Сеницкий с/с);15:58;МИНСК АС-ЮгоЗападная;16:32;пн вт ср чт пт
213;ПРИЛУКИ(Сеницкий с/с);16:21;МИНСК АС-ЮгоЗападная;16:54;сб вс
213;ПРИЛУКИ(Сеницкий с/с);16:41;МИНСК АС-ЮгоЗападная;17:15;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);16:47;МИНСК АС-ЮгоЗападная;17:21;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);16:52;МИНСК АС-ЮгоЗападная;17:26;сб вс
279;ПРИЛУКИ(Сеницкий с/с);17:01;МИНСК АС-ЮгоЗападная;17:35;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);17:24;МИНСК АС-ЮгоЗападная;17:58;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);17:46;МИНСК АС-ЮгоЗападная;18:20;сб вс
279;ПРИЛУКИ(Сеницкий с/с);18:07;МИНСК АС-ЮгоЗападная;18:41;пн вт ср чт пт
213;ПРИЛУКИ(Сеницкий с/с);18:45;МИНСК АС-ЮгоЗападная;19:18;сб вс
213;ПРИЛУКИ(Сеницкий с/с);19:08;МИНСК АС-ЮгоЗападная;19:42;пн вт ср чт пт
339;ПРИЛУКИ(Сеницкий с/с);19:12;МИНСК АС-ЮгоЗападная;19:42;сб вс
213;ПРИЛУКИ(Сеницкий с/с);19:36;МИНСК АС-ЮгоЗападная;20:10;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);19:49;МИНСК АС-ЮгоЗападная;20:20;сб вс
339;ПРИЛУКИ(Сеницкий с/с);20:03;МИНСК АС-ЮгоЗападная;20:37;пн вт ср чт пт
279;ПРИЛУКИ(Сеницкий с/с);20:45;МИНСК АС-ЮгоЗападная;21:16;пн вт ср чт пт
